Ticker,最新价,公司主营,市值,1日涨幅,5日涨幅,20日涨幅,连涨天数,成交量倍数,20日平均成交额,距离52周高点,信号
HP,43.07,,,0.002327169450321298,0.16185594953856253,0.2887493134229411,6,0.7508806786211821,47721875.39970398,0.0,连续5天上涨 / 20日新高
VEEV,252.64,,,0.046085069504224974,0.15996324999872136,0.28003245498204854,10,1.317947396659018,345203759.99557495,-0.17497224746086315,连续5天上涨 / 20日新高
CAVA,72.18,,,0.039009630586634314,0.15989074138087145,0.05991192250327493,2,1.1737769056051646,261578146.252594,-0.2588561376164483,20日新高
ZS,188.18,,,0.06124512126657922,0.15731848469907628,0.2851191838303304,1,1.0537507350779183,341013685.6980133,-0.4403901661645746,20日新高
VOYG,44.28,,,0.029767413472020277,0.15583391260768842,0.7690770101705191,2,0.7171325594570812,53053390.21877289,-0.14467841630748068,20日新高
BETA,26.24,,,0.10344823437512152,0.15492960229513142,0.4875283831651609,1,1.5443222425658185,32643210.256443024,-0.2869565131758921,20日新高
TPG,55.21,,,0.08510216048464048,0.15236900981653534,0.24095295575577258,5,2.2026763948530577,120697814.57645416,-0.1864642616882276,连续5天上涨 / 20日新高
ANRO,32.3,,,0.10692251196897207,0.1523367265720197,0.16103521176780644,2,2.228722199465073,11444071.372623444,0.0,放量大涨 / 20日新高
PSX,232.61,,,0.031164104629105793,0.14840778625371076,0.18581768081034622,3,0.6723172090819778,535210317.9547882,0.0,20日新高
S,23.84,,,0.06905833938182404,0.148362229756678,0.21446771124858666,1,1.15282887765009,125082673.23188782,0.0,20日新高
ENTG,163.81,,,0.016948073606321223,0.1483351178932708,0.21804422216372732,3,0.5982523566937602,389393916.97093964,-0.1089741408374112,20日新高
PLTR,179.01,,,0.04659729615032271,0.1480887417204284,0.3315232911041852,1,0.7727081364282353,6932972618.101921,-0.13596871881846684,20日新高
FSK,12.64,,,0.03861957798540416,0.14492757128607558,0.1606978829043857,1,0.6898464418038016,30789048.949871063,-0.17433281623754693,20日新高
FORM,131.67,,,0.02252072532628291,0.14286953576315975,0.22929696030848645,3,0.7111187693182222,150639429.41131592,-0.1767022810044525,20日新高
CON,35.12,,,0.016792067196983895,0.1417424795370823,0.149214644817788,4,1.5138980154732962,30365881.805267334,0.0,20日新高
HTFL,31.01,,,0.038860965915840096,0.14133235707784642,0.13798165977548016,5,1.6429794059815792,25225420.84836006,-0.22300174524073269,连续5天上涨 / 20日新高
GWRE,182.62,,,0.055118980732649314,0.14116101049932084,0.22637828638812763,1,0.93405494523703,187303644.51805115,-0.30265773746679403,20日新高
HPE,59.82,,,0.017519965355619505,0.14094982541739398,0.32550406113523467,2,1.4291144489202392,819691927.1449661,0.0,20日新高
BRZE,29.87,,,0.07911851553152327,0.13920677427401262,0.13964143008799268,1,1.0730215643800414,54434460.4056263,-0.1746338222519659,20日新高
RKT,15.04,,,0.07046261620487448,0.13767017080652932,0.009395996436714293,1,1.052129189540105,421139023.824563,-0.35836179099056087,20日新高
ASAN,9.87,,,0.09788655582262207,0.13709672103049564,0.2918848243513501,1,1.3445682689980383,42950885.381617546,-0.35023040433092467,20日新高
GLIBK,26.69,,,0.038117521761283246,0.1362282160119037,0.21705427098231334,5,1.2301778967754224,10982656.634197235,-0.33341658532012297,连续5天上涨 / 20日新高
FWRD,20.2,,,0.03642898923341309,0.13483155217680998,0.49077494306986713,2,0.6246290893097189,12936816.472053528,-0.363979829428023,20日新高
RDNT,77.31,,,0.004678370690432976,0.1342428609869768,0.2273376011834949,2,0.7833078802687844,53020725.61645508,-0.08487222435404151,20日新高
CVLT,151.1,,,0.06603640643151376,0.133023435902617,0.008880295073205424,2,0.8110024380563587,93606553.88469696,-0.22675398765772403,20日新高
SDRL,47.01,,,0.006207129564490987,0.13277104389236638,0.09682682342704707,1,0.7122611316756045,30372418.684444427,-0.14215330335733045,20日新高
VLO,342.92,,,0.03849072499789985,0.1317866084040331,0.14649053167096593,4,0.6600870329559259,853133029.9761963,0.0,20日新高
SAIL,19.99,,,0.06727177040450649,0.13065607613514207,0.26040354374800634,1,1.7131625603905734,53698631.639471054,-0.15404145234554245,20日新高
IMSR,6.06,,,0.04302926032050847,0.13059697608741772,0.28253969631577935,3,0.6852287690274416,10460831.406273842,-0.7763837690968001,20日新高
DELL,494.51,,,0.020660494872291046,0.12992120795639606,0.2655913582940026,2,1.3481110471739104,2536802607.223053,0.0,20日新高
BLZE,20.43,,,0.056359883349951234,0.12810599760544017,0.48798259186599835,2,0.8078310334248155,49120148.190197945,0.0,20日新高
MRX,72.36,,,0.017292329599724487,0.1265763168069387,0.11203320961606211,2,1.6662973916942057,44499725.53369522,0.0,20日新高
